Date,Year,Donor,Items,Value ($),Country,Continent,Regime
01/07/2013,2013,His Excellency Jakaya Kikwete,"11"" × 7"" full zebra skin mounted on felt. 37"" × 50"" painting of Maasai tribes-people. Sculpture. ",4000,Tanzania,Africa,Hybrid Regime
28/06/2013,2013,His Excellency Jacob Zuma,"50"" × 12"" bronze statue of cheetah. Four bottles of wine. ",1288,South Africa,Africa,Flawed Democracy
27/06/2013,2013,His Excellency Ali Mohamed Shein,"Wooden chest carved with flower and leaf design and brass fittings containing 20 green kente-style cloths with image of President Obama, 19 black hats with pins, 20 white baseball caps with image of President Obama, 21 blue kente-style cloths with image of President Obama, 18 navy blue polo shirts, 10 white polo shirts, a 56"" × 80"" blue plaid cloth, and one blue cloth with beaded decoration on round beaded tray with bow. ",1926,Tanzania,Africa,Hybrid Regime
27/06/2013,2013,Chief Justice Oumar Sakho,Hand-crafted drum bordered by colors of Senegalese flag tied with black thread on a wooden base. ,950,Senegal,Africa,Flawed Democracy
27/06/2013,2013,His Excellency Macky Sall,4' tall wooden statue of a woman carrying a basket. Bronze statue of Senegalese national hero Lat Dior Ngone Latyr Diop. ,1205,Senegal,Africa,Flawed Democracy
18/06/2013,2013,The Right Honorable David Cameron,"Framed photo of the G8 Leaders. Custom USB stick. Paperback book, title: “My NI.” CD, title: “Bestselling British Songs.” Hardcover book, title: “Scenic Ireland: The Province of Ulster.” Two porcelain cups with shamrocks. Wash bag by Anya Hindmarch. Mulberry tan travel bag with monogram. Apothecary bath products. Co Couture chocolates. Bottle of whiskey. ",2116,Ireland,Europe,Full Democracy
17/06/2013,2013,His Excellency Vladimir Putin,Six piece porcelain espresso cup set with gold inside and silver leaf pattern on outside. ,540,Russian Federation,Europe,Authoritarian
10/06/2013,2013,His Excellency Ollanta Moises Humala Tasso,Blue-striped upholstered ottoman with storage compartments. Dark brown carrying case containing six glasses. 12 bottles of Pisco Brand. ,1040,Peru,South America,Flawed Democracy
07/06/2013,2013,His Excellency Xi Jinping,"20"" × 1"" porcelain oval-shaped vase with black monochrome scene of mountains and trees and square hollow wood plinth. ",1400,China,Asia,Authoritarian
15/05/2013,2013,His Excellency Recep Tayyip Erdogan,"23"" × 20"" Turkish calligraphy version of “Barak Huseyin Obama” with tezhip border and gold frame. ",1200,Turkey,Asia,Hybrid Regime
